sentence,translation
There is (+//0A4v/9AID//QCm-),
We can see (+//0A4v/9AID//QCm-),
It looks like (+//0A4v/9AID//QCm-),
(Person) is at (place),
(Person) is (verb)ing,
(Noun) is (adjective),
(Noun) is (verb)ing,
There is a (adjective) (noun),
(Person) has to (+//0A4v/9AID//QCm-),
(Person) wants to (+//0A4v/9AID//QCm-),
Maybe it+//0A4v/9AID//QCZ-s because (+//0A4v/9AID//QCm-),
+ACI-First, (+//0A4v/9AID//QCm-). Then, (+//0A4v/9AID//QCm-). Finally, (+//0A4v/9AID//QCm-)+ACI-,
+ACI-Suddenly, (+//0A4v/9AID//QCm-)+ACI-,
(Person) didn+//0A4v/9AID//QCZ-t realize that+//0A4v/9AID//QCm-,
I don+//0A4v/9AID//QCZ-t know (+//0A4v/9AID//QCm-),
I think that (sentence).,
Do you think that (sentence)?,
